arm,outcome,measurement_party,n,beta,se,ci_low,ci_high,p,bh_q,se_type
Arm1_Consortium_vs_Unified,head_rice_pct,3rd-party,742.0,-1.844094259403088,0.40428533387193283,-2.636478953269828,-1.0517095655363484,5.082137638260583e-06,8.639633985042992e-05,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,chalkiness_deg_pct,3rd-party,739.0,1.10846480186451,0.4392241068270315,0.24760137134175497,1.969328232387265,0.011613080050630118,0.03290372681011867,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,quality_stated,3rd-party,750.0,-0.12189324265116291,0.045587450475216465,-0.21124300372959054,-0.032543481572735275,0.007498971965904656,0.029297653391133622,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,quality_top2,3rd-party,618.0,-0.09093329550430504,0.03461635166350269,-0.1587800980409435,-0.023086492967666586,0.008616956879745183,0.029297653391133622,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,amylose_pct,3rd-party,724.0,-0.11836494027358369,0.1695400351776181,-0.45065730315936897,0.2139274226122016,0.4850813089067344,0.5890273036724631,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,gel_mm,3rd-party,728.0,-1.8138923039891957,0.7484198346168367,-3.2807682251536194,-0.3470163828247721,0.015366278366817749,0.03731810460512881,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,lw_ratio,3rd-party,739.0,0.038870059115257885,0.04235693237262876,-0.04414800283069319,0.12188812106120896,0.35878704674845263,0.5082816495603079,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,neck_blast_ok,3rd-party,710.0,-0.034052329660672336,0.031342245739775315,-0.09548200250523589,0.027377343183891227,0.2772722362650488,0.4285116378641663,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,blb_grade,3rd-party,520.0,-0.1902190770123112,0.04476856474993993,-0.27796385156174286,-0.10247430246287952,2.1478161651292568e-05,0.00012170958269065789,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,yield_gain_pct,self-reported,708.0,0.5534452042714533,0.23581607826858203,0.09125418388955397,1.0156362246533526,0.018928514224754903,0.040223092727604166,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,gain_prod_pct,self-reported,578.0,0.9188713159691677,0.2110854404818733,0.5051514549639229,1.3325911769744125,1.3423956828609015e-05,0.00011410363304317662,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,yield_2yr_kg_mu,self-reported,716.0,1.425270937883509,2.8136450266624506,-4.089371979655135,6.9399138554221524,0.612465846991755,0.6507449624287397,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,duration_d,self-reported,743.0,-0.08330907330242199,0.30092312692108103,-0.6731075641829164,0.5064894175780724,0.7818990999433819,0.7818990999433819,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,plant_height_cm,self-reported,743.0,0.9521499205976198,0.47329882081573343,0.024501277873505867,1.8797985633217338,0.04424829859065707,0.07522210760411702,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,seed_setting_pct,self-reported,742.0,-0.20237998036159655,0.25605928473112943,-0.7042469563416972,0.2994869956185041,0.42931535730272186,0.561412390318944,"cluster(cell,G=10)"
Arm1_Consortium_vs_Unified,tgw_g,self-reported,743.0,0.13831610386283158,0.2570880282201591,-0.3655671723050973,0.6421993800307604,0.5905696780949825,0.6507449624287397,"cluster(cell,G=10)"
